state,intnt_users
AL,3510959
AK,511860
AZ,5155357
AR,2144450
CA,28601340
CO,3984926
CT,2548463
DE,655643
D,524980
FL,15897814
GA,7930374
HI,987495
ID,1357913
IL,10108369
IN,4926156
IA,2499659
KS,2129092
KY,3214116
LA,3442104
ME,1074515
MD,4567121
MA,4919605
MI,7192156
MN,4434458
MS,2084805
MO,4483605
MT,751250
NE,1460627
NV,2387836
NH,1099706
NJ,6711225
NM,1447107
NY,14061905
N,7391179
ND,559143
OH,8360041
OK,2823953
OR,3377380
PA,9039102
RI,811400
S,3730727
SD,616303
TN,4828096
TX,20184438
UT,2508446
VT,469626
VA,6466207
WA,5929727
WV,1316996
WI,4597872
WY,452169
